Feature,Normal,Simulated Bradykinesia
Duration (seconds),19.0,19.0
Number of taps,77.0,16.0
Tapping speed (taps/sec),4.052631578947368,0.8421052631578947
Amplitude,0.14157675839249872,0.08430690807857347
Mean interval,7.302631578947368,35.0
Variability,1.813833805725388,16.1203804752452
